participant_id,account_status,horizon,movements_with_material_improvement,largest_change_pct,movements_advancing_standard,candidate_reason,review_required
WSP-122F29AB30,active,12 months (300-450d),1,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DFD4C8DEAD,deactivated,6 months (120-240d),1,825.9,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-283EB45961,deactivated,12 months (300-450d),1,200.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,12 months (300-450d),4,201.4,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,6 months (120-240d),3,61.5,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,24 months (600-900d),1,92.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C7DB94648A,deactivated,12 months (300-450d),2,52.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C7DB94648A,deactivated,6 months (120-240d),2,76.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,12 months (300-450d),1,84.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,24 months (600-900d),1,57.9,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,6 months (120-240d),2,233.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-203C8BDBC2,deactivated,12 months (300-450d),1,70.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A8EA01317E,active,12 months (300-450d),1,84.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A8EA01317E,active,24 months (600-900d),1,72.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A8EA01317E,active,6 months (120-240d),1,58.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C91829EC0C,active,12 months (300-450d),2,166.7,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C91829EC0C,active,6 months (120-240d),1,280.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-FF4581D5ED,active,12 months (300-450d),2,59.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-89E2851F63,active,12 months (300-450d),3,66.7,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-89E2851F63,active,24 months (600-900d),2,53.4,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-5BD4C15BD0,active,12 months (300-450d),2,467.2,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-5BD4C15BD0,active,24 months (600-900d),0,57.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-5BD4C15BD0,active,6 months (120-240d),2,900.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-B7E03B3291,deactivated,12 months (300-450d),3,48.0,0,3 movements improved >=20% and >=5kg,Yes: validate exercise conventions and member consent before use
WSP-B7E03B3291,deactivated,6 months (120-240d),1,80.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-AB0A6E5C81,active,12 months (300-450d),4,106.7,1,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-AB0A6E5C81,active,6 months (120-240d),4,135.2,1,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-CE19BE311D,deactivated,12 months (300-450d),1,69.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-CE19BE311D,deactivated,6 months (120-240d),1,75.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A33C609992,deactivated,12 months (300-450d),4,261.9,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A33C609992,deactivated,6 months (120-240d),3,213.7,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-92A400FCFF,active,12 months (300-450d),4,280.0,2,4 movements improved >=20% and >=5kg; at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-92A400FCFF,active,6 months (120-240d),4,145.7,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-09CE244225,deactivated,6 months (120-240d),2,275.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0AEF177A82,active,12 months (300-450d),3,100.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0AEF177A82,active,6 months (120-240d),2,90.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-81921630E8,deactivated,6 months (120-240d),3,150.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-81921630E8,deactivated,12 months (300-450d),2,87.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-1E12FF782F,deactivated,6 months (120-240d),2,96.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-7AA21CB1F4,active,12 months (300-450d),3,133.7,2,3 movements improved >=20% and >=5kg; at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-7AA21CB1F4,active,6 months (120-240d),3,130.3,2,3 movements improved >=20% and >=5kg; at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-A440F0FC5B,active,12 months (300-450d),2,753.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A440F0FC5B,active,6 months (120-240d),1,473.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A8A29BD2C6,deactivated,6 months (120-240d),3,81.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A8A29BD2C6,deactivated,12 months (300-450d),3,66.7,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-B303D39D2E,active,12 months (300-450d),3,177.4,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-B303D39D2E,active,6 months (120-240d),3,236.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-4614A2179D,active,12 months (300-450d),3,165.1,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-4614A2179D,active,6 months (120-240d),2,93.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-9D2E5E5705,deactivated,6 months (120-240d),2,68.4,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3DA678F096,deactivated,12 months (300-450d),3,49.6,0,3 movements improved >=20% and >=5kg,Yes: validate exercise conventions and member consent before use
WSP-B5C401EEAE,deactivated,6 months (120-240d),2,154.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-307A72735D,deactivated,6 months (120-240d),2,90.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0516E1CE19,active,12 months (300-450d),3,216.7,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0516E1CE19,active,6 months (120-240d),5,172.2,0,5 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-EB89E506A9,active,12 months (300-450d),1,64.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-07CA7A705A,active,12 months (300-450d),1,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-B87BAFCC35,active,12 months (300-450d),3,142.4,4,3 movements improved >=20% and >=5kg; at least one movement improved >=50%; 4 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-B87BAFCC35,active,6 months (120-240d),3,275.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-AB99896EAB,active,12 months (300-450d),1,78.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-60241BBEE4,active,12 months (300-450d),2,58.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DABE5D39D1,active,12 months (300-450d),3,358.3,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DABE5D39D1,active,6 months (120-240d),3,66.7,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8D049C5D56,deactivated,12 months (300-450d),4,133.3,1,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8D049C5D56,deactivated,6 months (120-240d),1,111.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0DCDF68B3D,active,12 months (300-450d),2,264.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0DCDF68B3D,active,6 months (120-240d),2,412.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3875A22C34,active,12 months (300-450d),1,307.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3875A22C34,active,6 months (120-240d),2,528.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E277EBAFC9,active,12 months (300-450d),1,200.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E277EBAFC9,active,6 months (120-240d),4,300.0,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A0012389E8,deactivated,12 months (300-450d),2,287.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A0012389E8,deactivated,6 months (120-240d),3,293.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-4DA4559003,active,6 months (120-240d),2,314.7,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-6ACB58261D,active,6 months (120-240d),2,572.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-6ACB58261D,active,12 months (300-450d),1,430.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3FEC7CF653,active,12 months (300-450d),3,1400.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3FEC7CF653,active,6 months (120-240d),2,1163.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-7ED0BC043F,deactivated,6 months (120-240d),2,154.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F770995DCA,active,12 months (300-450d),3,90.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F770995DCA,active,6 months (120-240d),1,61.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-0ABE7D1E57,active,6 months (120-240d),1,163.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-BBBDC805FF,active,12 months (300-450d),2,152.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-BBBDC805FF,active,6 months (120-240d),3,83.2,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-1C37C2D63D,active,12 months (300-450d),2,114.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-1C37C2D63D,active,6 months (120-240d),2,122.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C76F8700A6,active,12 months (300-450d),3,50.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-34A4EF9BDE,deactivated,6 months (120-240d),2,209.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-7EEF4222BA,active,6 months (120-240d),2,56.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3558050B40,active,12 months (300-450d),2,87.5,3,at least one movement improved >=50%; 3 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-3558050B40,active,6 months (120-240d),2,37.5,2,2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-2AED6BFC3B,active,12 months (300-450d),1,52.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-AE5CD1FA15,deactivated,6 months (120-240d),1,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-6FF2BD66F6,deactivated,6 months (120-240d),2,138.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-35EF0D1E4B,deactivated,6 months (120-240d),2,116.7,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-6E5A708942,active,12 months (300-450d),3,453.6,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-6E5A708942,active,6 months (120-240d),2,295.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8651E15C95,active,12 months (300-450d),3,50.3,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8651E15C95,active,6 months (120-240d),1,57.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-39AFF966E1,active,6 months (120-240d),2,103.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ADB01750B6,active,6 months (120-240d),2,101.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
