participant_id,account_status,horizon,baseline_stage,baseline_stage_label,baseline_exercise,baseline_date,followup_stage,followup_stage_label,followup_exercise,followup_date,stages_gained,confirmed_goblet_to_nexus,progression_classification
WSP-9CEDFF8374,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,1,Goblet Squat,Dumbbell Goblet Squat,2026-07-20,-1,False,Only a lower stage was observed in this window; not evidence of regression
WSP-20C96BEF08,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-09,2,Nexus Point Squat,Nexus Point Squat,2024-02-05,0,False,Same highest stage observed
WSP-20C96BEF08,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-10-09,2,Nexus Point Squat,Nexus Point Squat,2024-08-02,0,False,Same highest stage observed
WSP-E6C38FCCB7,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-16,2,Nexus Point Squat,Nexus Point Squat,2024-02-05,0,False,Same highest stage observed
WSP-E6C38FCCB7,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-10-16,2,Nexus Point Squat,Nexus Point Squat,2024-10-04,0,False,Same highest stage observed
WSP-6EE81465BB,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-23,2,Nexus Point Squat,Nexus Point Squat,2024-02-26,0,False,Same highest stage observed
WSP-F8E778D44B,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,2,Nexus Point Squat,Nexus Point Squat,2024-03-11,0,False,Same highest stage observed
WSP-F8E778D44B,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,2,Nexus Point Squat,Nexus Point Squat,2024-09-27,0,False,Same highest stage observed
WSP-F8E778D44B,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,2,Nexus Point Squat,Nexus Point Squat,2025-06-30,0,False,Same highest stage observed
WSP-F8E778D44B,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,2,Nexus Point Squat,Nexus Point Squat,2026-06-29,0,False,Same highest stage observed
WSP-793DCC26EF,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-29,0,False,Same highest stage observed
WSP-793DCC26EF,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-26,0,False,Same highest stage observed
WSP-793DCC26EF,deactivated,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2025-05-05,0,False,Same highest stage observed
