movement_family,participants,workouts,result_rows,mapped_exercises,first_seen,last_seen,analysis_use
Bilateral Squat,262,5664,13409,8,2023-09-11,2026-07-21,Ordered stage transitions
Hinge / Deadlift,262,7122,18732,7,2023-09-11,2026-07-21,Exposure and future mapping review only
Horizontal Press,263,6780,20106,5,2023-09-11,2026-07-21,Exposure and future mapping review only
Loaded Carry,226,1957,4526,1,2023-10-10,2026-07-20,Exposure and future mapping review only
Split Squat,241,4861,11768,4,2023-09-12,2026-07-21,Exposure and future mapping review only
Vertical Pull,257,8480,17784,9,2023-09-11,2026-07-21,Exposure and future mapping review only
