participant_id,account_status,movement,baseline_source_exercise,followup_source_exercise,horizon,baseline_level,followup_level,levels_gained,baseline_ratio,followup_ratio
WSP-025D1B9E8F,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.429,0.523
WSP-025D1B9E8F,active,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.179,0.435
WSP-025D1B9E8F,active,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,6 months (120-240d),Below Live,Live,1,0.45,0.918
WSP-9F3E1B2C42,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Below Live,Live,1,0.226,0.306
WSP-9F3E1B2C42,active,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.476,0.608
WSP-A9F42F42C7,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.342,0.404
WSP-A9F42F42C7,active,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.368,0.482
WSP-A9F42F42C7,active,Nexus Point Squat,Barbell Front Squat,Barbell Front Squat,6 months (120-240d),Below Live,Below Live,0,0.27,0.362
WSP-A9F42F42C7,active,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,6 months (120-240d),Below Live,Live,1,0.071,0.27
WSP-A9F42F42C7,active,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,6 months (120-240d),Below Live,Live,1,0.448,0.736
WSP-D785D5403C,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.444,0.559
WSP-D785D5403C,deactivated,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.5,0.548
WSP-B72E4B8D85,active,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.646,0.638
WSP-B72E4B8D85,active,Nexus Point Squat,Barbell Front Squat,Nexus Point Squat,6 months (120-240d),Below Live,Below Live,0,0.433,0.45
WSP-B72E4B8D85,active,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,6 months (120-240d),Live,Live,0,0.716,1.018
